"VARIANT_NAME","DATA_BASE","DATA_BASE_REC_ID","GENDER","TISSUE","HEALTH_STATE","SAMPLE_SOURCE","AGE_MIN","AGE_MAX","SAMPLE_COUNT","TOTAL_COUNT","RATIO","NORM_VALUE","UNIT"
Hs.654391,E-GEOD-2361,TP_Stomach_U133A,MALE,STOMACH,UNSPECIFIED,UNSPECIFIED,77,77,68.4,2419201.0424,2.82737973410192E-05,1.27522385095579,Array
Hs.654391,E-GEOD-2361,TP_Testis_U133A,MALE,GONADS,UNSPECIFIED,UNSPECIFIED,17,61,45.6,2032743.33060001,2.24327387100762E-05,1.01177649044849,Array
Hs.654391,E-GEOD-2361,TP_Thalamus_U133A,UNSPECIFIED,BRAIN,UNSPECIFIED,UNSPECIFIED,32,75,38.8,1968785.00090001,1.97075861418403E-05,0.888864823840974,Array
Hs.654391,E-GEOD-2361,TP_Thymus_U133A,MALE,THYMUS,UNSPECIFIED,UNSPECIFIED,14,14,114.3,2419598.66019998,4.72392392507578E-05,2.13061598578331,Array
Hs.654391,E-GEOD-2361,TP_Thyroid_U133A,FEMALE,THYROID,UNSPECIFIED,UNSPECIFIED,42,42,34.3,2287212.11249999,1.49964228558186E-05,0.676378764199949,Array
Hs.654391,E-GEOD-2361,TP_Trachea_U133A,UNSPECIFIED,TRACHEA,UNSPECIFIED,UNSPECIFIED,17,70,54.2,2462990.41519999,2.2005769760821E-05,0.992519049322331,Array
Hs.654391,E-GEOD-2361,TP_Uterus_U133A,FEMALE,UTERUS,UNSPECIFIED,UNSPECIFIED,54,76,35,2159594.59000001,1.62067455447737E-05,0.730967553307144,Array
Hs.654391,E-GEOD-2361,TP_hippocampus_U133A,UNSPECIFIED,BRAIN,UNSPECIFIED,UNSPECIFIED,16,70,47.6,2001741.1572,2.3779298251819E-05,1.07250992584987,Array
Hs.654391,UNIGENE,12541,UNSPECIFIED,LIVER,NORMAL,UNSPECIFIED,,,2,525,0.00380952380952381,9.83062443255647,EST
Hs.654391,UNIGENE,12542,UNSPECIFIED,LIVER,NORMAL,UNSPECIFIED,,,12,3085,0.00388978930307942,10.0377526620917,EST
Hs.654391,UNIGENE,12555,UNSPECIFIED,LIVER,NORMAL,UNSPECIFIED,,,3,1281,0.00234192037470726,6.04341665935848,EST
Hs.654391,UNIGENE,13052,UNSPECIFIED,LIVER,NORMAL,TISSUE,-0.75,0,2,8971,0.000222940586333742,0.575306858442999,EST
